,index,age,sports,fashion,food,pet,Top Likes,age_group,Total Likes,Segment
859,edelgado,67,10.0,74.0,10.0,11.0,fashion,Senior,105.0,5
860,dominguezchristina,42,0.0,0.0,109.0,12.0,food,Adult,121.0,3
861,william03,38,0.0,0.0,28.0,27.0,age,Adult,55.0,1
862,stewartjames,24,0.0,8.0,6.0,7.0,age,Young Adult,21.0,1
863,nicolekim,50,1.0,1.0,10.0,1.0,age,Adult,13.0,1
864,cwoods,28,12.0,12.0,12.0,10.0,age,Adult,46.0,1
865,dustingarcia,17,2.0,0.0,0.0,24.0,pet,Teenager,26.0,1
866,navarroricky,14,0.0,89.0,89.0,91.0,pet,Teenager,269.0,4
867,ccollins,24,36.0,15.0,8.0,7.0,sports,Young Adult,66.0,1
868,thomasleon,29,0.0,0.0,188.0,20.0,food,Adult,208.0,3
869,joshua23,46,50.0,50.0,50.0,45.0,sports,Adult,195.0,5
870,maldonadojamie,32,0.0,42.0,12.0,16.0,fashion,Adult,70.0,1
871,williamkramer,25,8.0,4.0,1.0,1.0,age,Young Adult,14.0,1
872,melissabrown,16,5.0,20.0,4.0,8.0,fashion,Teenager,37.0,1
873,ashaw,14,54.0,47.0,0.0,53.0,sports,Teenager,154.0,5
874,ashleydavis,20,2.0,1.0,3.0,9.0,age,Young Adult,15.0,1
875,silvajohn,35,81.0,0.0,0.0,82.0,pet,Adult,163.0,0
876,paulakrause,44,17.0,15.0,0.0,47.0,pet,Adult,79.0,1
877,terry68,41,37.0,16.0,8.0,7.0,age,Adult,68.0,1
878,marcia54,40,0.0,36.0,0.0,4.0,age,Adult,40.0,1
879,fclark,16,0.0,16.0,0.0,16.0,age,Teenager,32.0,1
880,dorseystephanie,15,69.0,0.0,34.0,68.0,sports,Teenager,171.0,5
881,tracy43,46,0.0,0.0,112.0,112.0,food,Adult,224.0,0
882,michaelmcdaniel,39,0.0,15.0,48.0,15.0,food,Adult,78.0,1
883,beth92,32,124.0,0.0,0.0,125.0,pet,Adult,249.0,0
884,churchkaitlyn,20,0.0,52.0,0.0,52.0,fashion,Young Adult,104.0,5
885,manuelhoward,65,42.0,0.0,12.0,12.0,age,Senior,66.0,1
886,mccartydavid,57,20.0,40.0,0.0,40.0,age,Adult,100.0,5
887,oclark,16,9.0,10.0,72.0,9.0,food,Teenager,100.0,3
888,lyonskristie,19,3.0,13.0,3.0,1.0,age,Young Adult,20.0,1
889,jeffreyhoover,19,0.0,6.0,0.0,6.0,age,Young Adult,12.0,1
890,jennifer99,28,35.0,6.0,12.0,7.0,sports,Adult,60.0,1
891,rboone,17,30.0,30.0,30.0,28.0,sports,Teenager,118.0,5
892,brooke01,30,0.0,129.0,0.0,16.0,fashion,Adult,145.0,4
893,christopher58,34,0.0,179.0,60.0,60.0,fashion,Adult,299.0,4
894,gabriela09,46,17.0,0.0,19.0,18.0,age,Adult,54.0,1
895,samanthajackson,37,0.0,12.0,36.0,12.0,age,Adult,60.0,1
896,ghill,32,5.0,3.0,0.0,12.0,age,Adult,20.0,1
897,riggsjonathan,19,40.0,36.0,40.0,40.0,sports,Young Adult,156.0,5
898,padillajonathan,49,61.0,64.0,0.0,60.0,fashion,Adult,185.0,5
899,travisthomas,39,24.0,0.0,49.0,48.0,food,Adult,121.0,5
900,carlabeck,27,0.0,0.0,44.0,44.0,food,Adult,88.0,5
901,sandra07,25,0.0,0.0,44.0,4.0,food,Young Adult,48.0,1
902,timothyhardy,36,13.0,0.0,14.0,12.0,age,Adult,39.0,1
903,ashleymontgomery,18,18.0,19.0,0.0,19.0,fashion,Teenager,56.0,1
904,biancaferrell,31,22.0,24.0,0.0,24.0,age,Adult,70.0,1
905,erincarr,23,24.0,25.0,122.0,49.0,food,Young Adult,220.0,3
906,lhamilton,38,19.0,20.0,19.0,19.0,age,Adult,77.0,1
907,gordontravis,22,12.0,0.0,0.0,107.0,pet,Young Adult,119.0,0
908,michellecurtis,28,5.0,3.0,22.0,8.0,age,Adult,38.0,1
909,justin28,15,50.0,49.0,0.0,148.0,pet,Teenager,247.0,0
910,jeremy10,30,58.0,8.0,8.0,8.0,sports,Adult,82.0,1
911,upruitt,20,36.0,6.0,6.0,5.0,sports,Young Adult,53.0,1
912,gmelendez,26,65.0,0.0,31.0,63.0,sports,Adult,159.0,5
913,zhorton,23,34.0,32.0,34.0,34.0,sports,Young Adult,134.0,5
914,smithconnor,18,4.0,4.0,3.0,3.0,age,Teenager,14.0,1
915,qgonzalez,27,37.0,0.0,18.0,37.0,sports,Adult,92.0,5
916,janet93,18,0.0,0.0,4.0,30.0,pet,Teenager,34.0,1
917,daviddavis,20,0.0,44.0,42.0,22.0,fashion,Young Adult,108.0,5
918,christopher35,20,0.0,54.0,0.0,6.0,fashion,Young Adult,60.0,1
919,nbarajas,42,0.0,0.0,134.0,15.0,food,Adult,149.0,3
920,nbrennan,29,37.0,36.0,36.0,38.0,pet,Adult,147.0,5
921,iandrade,24,15.0,0.0,17.0,15.0,age,Young Adult,47.0,1
922,rachaelshepard,58,0.0,71.0,72.0,33.0,food,Adult,176.0,5
923,heather34,15,9.0,12.0,71.0,12.0,food,Teenager,104.0,3
924,tjohnston,22,20.0,21.0,20.0,21.0,age,Young Adult,82.0,1
925,wperez,14,24.0,24.0,24.0,24.0,sports,Teenager,96.0,5
926,philip11,26,30.0,30.0,30.0,30.0,sports,Adult,120.0,5
927,xjones,15,0.0,72.0,35.0,63.0,fashion,Teenager,170.0,5
928,awilliams,18,32.0,0.0,0.0,33.0,pet,Teenager,65.0,1
929,xmorales,25,0.0,21.0,45.0,43.0,food,Young Adult,109.0,5
930,todd31,30,0.0,5.0,0.0,40.0,pet,Adult,45.0,1
931,schneiderjennifer,16,12.0,72.0,11.0,12.0,fashion,Teenager,107.0,5
932,uball,65,0.0,39.0,36.0,118.0,pet,Senior,193.0,0
933,cynthiasmith,20,9.0,9.0,60.0,8.0,food,Young Adult,86.0,1
934,alvarezkimberly,33,26.0,26.0,0.0,12.0,age,Adult,64.0,1
935,cgallagher,19,27.0,67.0,12.0,13.0,fashion,Young Adult,119.0,5
936,stephanie21,29,40.0,40.0,0.0,20.0,sports,Adult,100.0,5
937,stevenrichardson,53,15.0,15.0,14.0,15.0,age,Adult,59.0,1
938,fanderson,28,74.0,0.0,76.0,76.0,food,Adult,226.0,0
939,grossmichael,29,40.0,4.0,4.0,6.0,sports,Adult,54.0,1
940,williemunoz,17,40.0,0.0,40.0,118.0,pet,Teenager,198.0,0
941,kathleen58,19,4.0,3.0,34.0,4.0,food,Young Adult,45.0,1
942,elizabethcarlson,40,12.0,24.0,0.0,24.0,age,Adult,60.0,1
943,seth62,16,0.0,4.0,0.0,21.0,pet,Teenager,25.0,1
944,bmartin,14,16.0,16.0,15.0,16.0,sports,Teenager,63.0,1
945,frostashlee,45,33.0,12.0,6.0,6.0,age,Adult,57.0,1
946,connor63,25,166.0,0.0,0.0,20.0,sports,Young Adult,186.0,2
947,bryan41,18,44.0,0.0,0.0,4.0,sports,Teenager,48.0,1
948,bradley67,43,10.0,2.0,0.0,2.0,age,Adult,14.0,1
949,tamarafernandez,88,93.0,31.0,0.0,31.0,sports,Senior,155.0,2
950,ramseyjennifer,49,12.0,76.0,11.0,10.0,fashion,Adult,109.0,4
951,samantha40,18,0.0,0.0,0.0,16.0,age,Teenager,16.0,1
952,pburns,50,0.0,17.0,15.0,17.0,age,Adult,49.0,1
953,jacqueline48,14,81.0,0.0,90.0,44.0,food,Teenager,215.0,3
954,smontes,17,138.0,42.0,0.0,42.0,sports,Teenager,222.0,2
955,rodriguezkimberly,15,0.0,0.0,180.0,20.0,food,Teenager,200.0,3
956,janetchristian,41,5.0,5.0,5.0,3.0,age,Adult,18.0,1
957,joannakerr,24,36.0,104.0,0.0,36.0,fashion,Young Adult,176.0,4
958,gbooth,24,16.0,122.0,18.0,18.0,fashion,Young Adult,174.0,4
959,uhernandez,26,0.0,63.0,0.0,8.0,fashion,Adult,71.0,1
960,floreseric,57,56.0,56.0,0.0,56.0,age,Adult,168.0,5
961,timothy55,21,0.0,16.0,31.0,31.0,food,Young Adult,78.0,1
962,alison64,29,9.0,0.0,15.0,16.0,age,Adult,40.0,1
963,iperkins,53,106.0,106.0,0.0,110.0,pet,Adult,322.0,4
964,charles94,68,35.0,0.0,11.0,12.0,age,Senior,58.0,1
965,larry14,22,47.0,6.0,7.0,8.0,sports,Young Adult,68.0,1
966,bvelazquez,49,52.0,25.0,0.0,52.0,sports,Adult,129.0,5
967,heatherlopez,14,19.0,99.0,20.0,40.0,fashion,Teenager,178.0,4
968,mwest,16,37.0,0.0,39.0,42.0,pet,Teenager,118.0,5
969,heather66,51,28.0,26.0,27.0,26.0,age,Adult,107.0,5
970,roberto73,24,0.0,91.0,0.0,9.0,fashion,Young Adult,100.0,4
971,jeffrey32,64,4.0,3.0,3.0,21.0,age,Senior,31.0,1
972,scott05,17,50.0,0.0,89.0,99.0,pet,Teenager,238.0,0
973,jerrydouglas,66,0.0,8.0,8.0,28.0,age,Senior,44.0,1
974,astevenson,21,8.0,7.0,8.0,8.0,age,Young Adult,31.0,1
975,simskerri,33,10.0,9.0,10.0,10.0,age,Adult,39.0,1
976,tamaracoleman,32,32.0,81.0,15.0,16.0,fashion,Adult,144.0,4
977,ftucker,22,0.0,12.0,8.0,12.0,age,Young Adult,32.0,1
978,ryandavis,14,36.0,36.0,245.0,35.0,food,Teenager,352.0,3
979,brownjasmin,50,0.0,36.0,116.0,39.0,food,Adult,191.0,3
980,laurasalinas,28,30.0,15.0,15.0,76.0,pet,Adult,136.0,5
981,wwade,49,25.0,12.0,0.0,26.0,age,Adult,63.0,1
982,kara19,42,3.0,9.0,4.0,22.0,age,Adult,38.0,1
983,tylerstephen,28,0.0,16.0,15.0,47.0,pet,Adult,78.0,1
984,barcher,21,35.0,20.0,0.0,39.0,pet,Young Adult,94.0,5
985,kathryn24,32,28.0,195.0,31.0,30.0,fashion,Adult,284.0,4
986,david59,32,0.0,47.0,48.0,46.0,food,Adult,141.0,5
987,sarahsweeney,44,29.0,28.0,28.0,26.0,age,Adult,111.0,5
988,andre64,20,33.0,17.0,16.0,81.0,pet,Young Adult,147.0,5
989,smithsteven,17,12.0,0.0,30.0,11.0,food,Teenager,53.0,1
990,zbuchanan,30,36.0,36.0,35.0,33.0,sports,Adult,140.0,5
991,debralyons,28,0.0,3.0,0.0,32.0,pet,Adult,35.0,1
992,hnguyen,28,19.0,21.0,0.0,57.0,pet,Adult,97.0,5
993,buchananjeffery,44,8.0,0.0,8.0,8.0,age,Adult,24.0,1
994,daniel03,39,65.0,0.0,22.0,20.0,sports,Adult,107.0,5
995,nortonjennifer,15,68.0,67.0,0.0,66.0,sports,Teenager,201.0,5
996,lauren14,35,47.0,47.0,47.0,45.0,sports,Adult,186.0,5
997,hickscharles,30,15.0,16.0,16.0,106.0,pet,Adult,153.0,0
998,sara78,56,38.0,0.0,76.0,69.0,food,Adult,183.0,5
999,joseph70,17,3.0,2.0,4.0,20.0,pet,Teenager,29.0,1
1000,andrewcruz,29,88.0,12.0,11.0,12.0,sports,Adult,123.0,2
1001,jdavis,34,9.0,10.0,12.0,70.0,pet,Adult,101.0,5
1002,toddjohnson,23,8.0,22.0,0.0,9.0,age,Young Adult,39.0,1
1003,jasongreen,15,16.0,15.0,16.0,12.0,sports,Teenager,59.0,1
1004,youngadam,18,0.0,10.0,10.0,28.0,pet,Teenager,48.0,1
1005,browntravis,25,0.0,80.0,80.0,82.0,pet,Young Adult,242.0,4
1006,ephillips,36,0.0,41.0,41.0,42.0,pet,Adult,124.0,5
1007,eric44,35,28.0,8.0,12.0,6.0,age,Adult,54.0,1
1008,brian79,34,4.0,6.0,33.0,5.0,age,Adult,48.0,1
1009,glennmary,16,30.0,30.0,30.0,27.0,sports,Teenager,117.0,5
1010,yvettesosa,34,45.0,0.0,0.0,39.0,sports,Adult,84.0,1
1011,sandovaljulie,15,3.0,4.0,4.0,3.0,age,Teenager,14.0,1
1012,qsilva,36,17.0,18.0,18.0,18.0,age,Adult,71.0,1
1013,ashley56,16,0.0,0.0,200.0,24.0,food,Teenager,224.0,3
1014,leah38,50,32.0,32.0,0.0,33.0,age,Adult,97.0,5
1015,vhopkins,25,45.0,43.0,0.0,38.0,sports,Young Adult,126.0,5
1016,ryananderson,34,32.0,0.0,64.0,64.0,food,Adult,160.0,5
1017,madeline75,21,28.0,28.0,29.0,26.0,food,Young Adult,111.0,5
1018,afuentes,34,4.0,3.0,24.0,3.0,age,Adult,34.0,1
1019,sullivancolleen,27,8.0,7.0,8.0,6.0,age,Adult,29.0,1
1020,rubenrobinson,24,0.0,15.0,0.0,16.0,age,Young Adult,31.0,1
1021,carteramy,47,23.0,0.0,24.0,24.0,age,Adult,71.0,1
1022,tkim,36,16.0,17.0,16.0,17.0,age,Adult,66.0,1
1023,campbellstephanie,39,23.0,160.0,24.0,22.0,fashion,Adult,229.0,4
1024,nmason,22,32.0,32.0,0.0,92.0,pet,Young Adult,156.0,0
1025,susanmueller,27,38.0,39.0,38.0,39.0,fashion,Adult,154.0,5
1026,larrymoore,24,47.0,0.0,0.0,52.0,pet,Young Adult,99.0,5
1027,martinalejandro,53,31.0,9.0,0.0,10.0,age,Adult,50.0,1
1028,mgonzalez,61,0.0,17.0,5.0,8.0,age,Senior,30.0,1
1029,nwyatt,22,26.0,29.0,28.0,29.0,fashion,Young Adult,112.0,5
1030,anthony10,33,8.0,8.0,8.0,8.0,age,Adult,32.0,1
1031,qhendrix,45,12.0,58.0,24.0,11.0,fashion,Adult,105.0,5
1032,rodneygraham,32,0.0,4.0,2.0,5.0,age,Adult,11.0,1
1033,fosterphillip,37,6.0,50.0,6.0,7.0,fashion,Adult,69.0,1
1034,amoss,27,36.0,40.0,274.0,40.0,food,Adult,390.0,3
1035,ywillis,19,6.0,32.0,12.0,6.0,fashion,Young Adult,56.0,1
1036,ppollard,22,13.0,30.0,14.0,71.0,pet,Young Adult,128.0,5
1037,jaybyrd,15,1.0,3.0,8.0,1.0,age,Teenager,13.0,1
1038,tcantrell,33,68.0,8.0,8.0,10.0,sports,Adult,94.0,1
1039,clifford65,46,0.0,52.0,18.0,16.0,fashion,Adult,86.0,5
1040,hendersondenise,19,0.0,0.0,12.0,108.0,pet,Young Adult,120.0,0
1041,rmorales,28,32.0,7.0,13.0,8.0,sports,Adult,60.0,1
1042,khill,67,15.0,16.0,15.0,15.0,age,Senior,61.0,1
1043,scottwendy,65,6.0,40.0,6.0,5.0,age,Senior,57.0,1
1044,williamserica,39,0.0,0.0,6.0,6.0,age,Adult,12.0,1
1045,norrisantonio,46,48.0,8.0,8.0,8.0,sports,Adult,72.0,1
1046,stewartangela,40,0.0,73.0,0.0,8.0,fashion,Adult,81.0,1
1047,melissaortega,49,32.0,0.0,32.0,15.0,age,Adult,79.0,1
1048,candicefisher,29,22.0,23.0,22.0,20.0,age,Adult,87.0,1
1049,jonesnicole,30,59.0,53.0,56.0,59.0,sports,Adult,227.0,5
1050,robbinsdiamond,31,15.0,100.0,13.0,15.0,fashion,Adult,143.0,4
1051,mmitchell,17,24.0,76.0,0.0,25.0,fashion,Teenager,125.0,5
1052,cynthiaburgess,37,73.0,82.0,81.0,81.0,fashion,Adult,317.0,4
1053,jamescampbell,15,10.0,0.0,21.0,20.0,food,Teenager,51.0,1
1054,javila,18,0.0,24.0,24.0,64.0,pet,Teenager,112.0,5
1055,caitlinmaxwell,19,3.0,4.0,0.0,5.0,age,Young Adult,12.0,1
1056,ricky95,23,16.0,31.0,15.0,78.0,pet,Young Adult,140.0,5
1057,lindseycheryl,38,17.0,0.0,16.0,9.0,age,Adult,42.0,1
1058,conniejohnson,29,1.0,0.0,0.0,12.0,age,Adult,13.0,1
1059,fmercer,29,21.0,22.0,22.0,22.0,age,Adult,87.0,1
1060,vlin,49,31.0,31.0,220.0,31.0,food,Adult,313.0,3
1061,catherine57,13,99.0,14.0,14.0,12.0,sports,,139.0,2
1062,megan92,36,8.0,9.0,18.0,45.0,pet,Adult,80.0,1
1063,sara08,13,27.0,25.0,0.0,70.0,pet,,122.0,5
1064,michaelhumphrey,37,43.0,39.0,42.0,43.0,sports,Adult,167.0,5
1065,wallerlisa,41,35.0,88.0,18.0,19.0,fashion,Adult,160.0,4
1066,kadkins,22,27.0,3.0,4.0,3.0,sports,Young Adult,37.0,1
1067,tracy64,31,0.0,12.0,12.0,12.0,age,Adult,36.0,1
1068,eric65,26,8.0,16.0,42.0,8.0,food,Adult,74.0,1
1069,tayloralexis,66,14.0,12.0,0.0,6.0,age,Senior,32.0,1
1070,mary77,30,17.0,46.0,0.0,16.0,fashion,Adult,79.0,1
1071,tammyortiz,22,40.0,100.0,21.0,21.0,fashion,Young Adult,182.0,4
1072,danielchristopher,41,0.0,0.0,48.0,47.0,food,Adult,95.0,5
1073,michael96,14,5.0,6.0,0.0,6.0,age,Teenager,17.0,1
1074,tristan58,37,21.0,21.0,25.0,21.0,age,Adult,88.0,1
1075,jevans,16,51.0,0.0,17.0,17.0,sports,Teenager,85.0,1
1076,frederickkent,50,0.0,18.0,18.0,17.0,age,Adult,53.0,1
1077,elizabeth93,16,6.0,5.0,36.0,5.0,food,Teenager,52.0,1
1078,wkelley,19,28.0,26.0,0.0,27.0,sports,Young Adult,81.0,1
1079,nicoleharris,34,0.0,0.0,23.0,203.0,pet,Adult,226.0,0
1080,nbishop,19,24.0,12.0,0.0,24.0,sports,Young Adult,60.0,1
1081,blozano,48,16.0,0.0,6.0,6.0,age,Adult,28.0,1
1082,berrychristopher,17,68.0,67.0,68.0,69.0,pet,Teenager,272.0,4
1083,irobinson,59,30.0,0.0,0.0,4.0,age,Adult,34.0,1
1084,tara07,41,29.0,0.0,86.0,29.0,food,Adult,144.0,3
1085,teresa04,23,6.0,0.0,0.0,54.0,pet,Young Adult,60.0,1
1086,linda55,17,64.0,0.0,0.0,8.0,sports,Teenager,72.0,1
1087,jamesle,29,12.0,7.0,0.0,12.0,age,Adult,31.0,1
1088,vpadilla,61,25.0,24.0,25.0,24.0,age,Senior,98.0,5
1089,spage,25,0.0,0.0,5.0,45.0,pet,Young Adult,50.0,1
1090,gmarsh,50,0.0,30.0,30.0,91.0,pet,Adult,151.0,0
1091,robert92,36,30.0,29.0,28.0,28.0,age,Adult,115.0,5
1092,amy49,37,27.0,7.0,6.0,10.0,age,Adult,50.0,1
1093,zjohnson,19,5.0,9.0,3.0,24.0,pet,Young Adult,41.0,1
1094,yhudson,35,23.0,21.0,0.0,62.0,pet,Adult,106.0,5
1095,weisssteven,16,14.0,0.0,3.0,3.0,age,Teenager,20.0,1
1096,kellybrian,14,28.0,29.0,0.0,28.0,fashion,Teenager,85.0,1
1097,eric26,18,18.0,17.0,125.0,18.0,food,Teenager,178.0,3
1098,randall86,13,6.0,6.0,36.0,6.0,food,,54.0,1
1099,jamesnavarro,19,8.0,12.0,6.0,32.0,pet,Young Adult,58.0,1
1100,martinjennifer,15,0.0,0.0,9.0,8.0,age,Teenager,17.0,1
1101,bellmichaela,17,20.0,0.0,20.0,60.0,pet,Teenager,100.0,5
1102,vgarcia,23,11.0,92.0,13.0,12.0,fashion,Young Adult,128.0,4
1103,wbrock,57,6.0,3.0,16.0,3.0,age,Adult,28.0,1
1104,carol07,65,11.0,22.0,56.0,11.0,age,Senior,100.0,5
1105,tamaradawson,21,11.0,11.0,86.0,12.0,food,Young Adult,120.0,3
1106,hernandezjustin,53,26.0,27.0,26.0,28.0,age,Adult,107.0,5
1107,nataliebyrd,40,4.0,0.0,0.0,44.0,pet,Adult,48.0,1
1108,robert78,42,4.0,4.0,3.0,4.0,age,Adult,15.0,1
1109,flynnshannon,32,27.0,0.0,0.0,27.0,age,Adult,54.0,1
1110,kerri59,30,0.0,34.0,17.0,36.0,pet,Adult,87.0,5
1111,jennifer43,21,56.0,0.0,56.0,154.0,pet,Young Adult,266.0,0
1112,johnsonmathew,36,0.0,39.0,22.0,43.0,pet,Adult,104.0,5
1113,lsmith,19,44.0,8.0,20.0,8.0,sports,Young Adult,80.0,1
1114,aaronwilson,23,42.0,0.0,0.0,42.0,sports,Young Adult,84.0,1
1115,david70,16,18.0,0.0,19.0,51.0,pet,Teenager,88.0,5
1116,ross74,30,9.0,6.0,4.0,25.0,age,Adult,44.0,1
1117,baileyrandy,21,30.0,0.0,0.0,32.0,pet,Young Adult,62.0,1
1118,jeremygordon,41,17.0,0.0,16.0,52.0,pet,Adult,85.0,5
1119,katelyn16,28,27.0,0.0,28.0,28.0,age,Adult,83.0,1
1120,alyssaperez,21,63.0,14.0,13.0,24.0,sports,Young Adult,114.0,5
1121,mclaughlinkatrina,27,0.0,9.0,9.0,9.0,age,Adult,27.0,1
1122,keithporter,46,143.0,20.0,18.0,20.0,sports,Adult,201.0,2
1123,williamtate,23,100.0,0.0,0.0,100.0,sports,Young Adult,200.0,2
1124,wdavidson,52,0.0,40.0,80.0,81.0,pet,Adult,201.0,5
1125,patriciacarey,33,18.0,0.0,10.0,18.0,age,Adult,46.0,1
1126,danielmckinney,38,10.0,9.0,9.0,72.0,pet,Adult,100.0,5
1127,burgessmichele,17,32.0,12.0,6.0,8.0,sports,Teenager,58.0,1
1128,blakebean,34,29.0,32.0,32.0,34.0,age,Adult,127.0,5
1129,lpaul,19,0.0,24.0,0.0,24.0,fashion,Young Adult,48.0,1
1130,clarkdiana,16,12.0,12.0,12.0,12.0,age,Teenager,48.0,1
1131,johnwilliams,36,18.0,18.0,20.0,20.0,age,Adult,76.0,1
1132,michelle38,31,12.0,13.0,12.0,14.0,age,Adult,51.0,1
1133,hbailey,34,11.0,59.0,11.0,24.0,fashion,Adult,105.0,5
1134,fbrown,16,143.0,20.0,20.0,20.0,sports,Teenager,203.0,2
1135,xconway,18,27.0,10.0,6.0,5.0,sports,Teenager,48.0,1
1136,schultzjanice,34,10.0,67.0,10.0,10.0,fashion,Adult,97.0,5
1137,melissa44,24,118.0,40.0,0.0,39.0,sports,Young Adult,197.0,2
1138,pdalton,57,20.0,20.0,125.0,20.0,food,Adult,185.0,3
1139,aguirrealyssa,22,49.0,49.0,50.0,45.0,food,Young Adult,193.0,5
1140,diana29,19,36.0,37.0,38.0,37.0,food,Young Adult,148.0,5
1141,rtanner,20,50.0,10.0,21.0,10.0,sports,Young Adult,91.0,1
1142,colemanstephanie,31,0.0,0.0,60.0,54.0,food,Adult,114.0,5
1143,sanchezrebecca,25,12.0,12.0,84.0,11.0,food,Young Adult,119.0,3
1144,orodriguez,32,9.0,0.0,8.0,9.0,age,Adult,26.0,1
1145,youngjeremy,36,19.0,22.0,43.0,106.0,pet,Adult,190.0,0
1146,xwilliams,48,82.0,0.0,81.0,40.0,sports,Adult,203.0,3
1147,briansmith,65,74.0,0.0,24.0,24.0,sports,Senior,122.0,5
1148,cpotter,17,17.0,10.0,0.0,18.0,pet,Teenager,45.0,1
1149,brianmiller,25,28.0,0.0,97.0,32.0,food,Young Adult,157.0,3
1150,oscar80,16,11.0,76.0,12.0,12.0,fashion,Teenager,111.0,5
1151,stephenreyes,26,0.0,92.0,0.0,82.0,fashion,Adult,174.0,4
1152,gmckinney,21,12.0,0.0,12.0,11.0,age,Young Adult,35.0,1
1153,loganmoreno,42,74.0,0.0,0.0,66.0,sports,Adult,140.0,5
1154,kennethbutler,33,0.0,1.0,3.0,6.0,age,Adult,10.0,1
1155,jenniferrussell,33,8.0,10.0,0.0,10.0,age,Adult,28.0,1
1156,gina78,14,35.0,36.0,33.0,36.0,fashion,Teenager,140.0,5
1157,melissa64,20,4.0,3.0,8.0,21.0,pet,Young Adult,36.0,1
1158,nielsenjohn,58,20.0,20.0,20.0,20.0,age,Adult,80.0,1
1159,jbecker,25,32.0,32.0,31.0,32.0,sports,Young Adult,127.0,5
1160,alanferguson,16,10.0,10.0,0.0,4.0,age,Teenager,24.0,1
1161,brooksstacy,28,2.0,4.0,24.0,4.0,age,Adult,34.0,1
1162,foleynicole,35,6.0,48.0,6.0,8.0,fashion,Adult,68.0,1
1163,duncansusan,15,0.0,30.0,0.0,27.0,fashion,Teenager,57.0,1
1164,parkerdaniel,40,13.0,15.0,99.0,14.0,food,Adult,141.0,3
1165,lisa48,33,24.0,25.0,25.0,24.0,age,Adult,98.0,5
1166,jacqueline43,25,0.0,0.0,43.0,45.0,pet,Young Adult,88.0,5
1167,nicolehuynh,20,79.0,11.0,12.0,11.0,sports,Young Adult,113.0,5
1168,kristinaperry,16,0.0,16.0,16.0,49.0,pet,Teenager,81.0,5
1169,evansann,34,50.0,0.0,149.0,50.0,food,Adult,249.0,3
1170,oconnellmary,21,1.0,3.0,8.0,1.0,age,Young Adult,13.0,1
1171,melissarogers,20,102.0,0.0,99.0,90.0,sports,Young Adult,291.0,0
1172,urivera,19,6.0,8.0,6.0,43.0,pet,Young Adult,63.0,1
1173,wwilliams,20,3.0,2.0,3.0,20.0,age,Young Adult,28.0,1
1174,jenniferodom,49,0.0,52.0,46.0,52.0,fashion,Adult,150.0,5
1175,jasmine78,28,264.0,0.0,0.0,29.0,sports,Adult,293.0,2
1176,parkstracy,25,32.0,0.0,64.0,64.0,food,Young Adult,160.0,5
1177,kennethrivera,15,148.0,20.0,21.0,19.0,sports,Teenager,208.0,2
1178,lauramcdowell,68,38.0,38.0,38.0,38.0,age,Senior,152.0,5
1179,brookedavis,44,37.0,12.0,0.0,12.0,age,Adult,61.0,1
1180,smithdeborah,30,0.0,16.0,28.0,28.0,age,Adult,72.0,1
1181,kathleenherring,14,58.0,0.0,0.0,6.0,sports,Teenager,64.0,1
1182,cfrye,14,20.0,21.0,144.0,21.0,food,Teenager,206.0,3
1183,ethan36,27,10.0,10.0,10.0,68.0,pet,Adult,98.0,5
1184,sloantyrone,13,29.0,70.0,13.0,14.0,fashion,,126.0,5
1185,ray40,47,25.0,24.0,0.0,27.0,age,Adult,76.0,1
1186,woodardadam,34,0.0,26.0,26.0,28.0,age,Adult,80.0,5
1187,gary40,21,0.0,0.0,10.0,85.0,pet,Young Adult,95.0,0
1188,qhurley,25,6.0,11.0,6.0,28.0,pet,Young Adult,51.0,1
1189,zacharybutler,19,56.0,56.0,51.0,56.0,sports,Young Adult,219.0,5
1190,efritz,24,32.0,32.0,32.0,32.0,sports,Young Adult,128.0,5
1191,robert72,42,12.0,10.0,52.0,21.0,food,Adult,95.0,5
1192,millerjasmine,36,31.0,28.0,32.0,28.0,age,Adult,119.0,5
1193,imendoza,25,15.0,2.0,4.0,4.0,age,Young Adult,25.0,1
1194,bhernandez,23,5.0,5.0,3.0,3.0,age,Young Adult,16.0,1
1195,tnguyen,20,0.0,0.0,8.0,0.0,age,Young Adult,8.0,1
1196,smithandrew,19,17.0,16.0,17.0,15.0,age,Young Adult,65.0,1
1197,diana74,33,3.0,4.0,0.0,4.0,age,Adult,11.0,1
1198,bensondavid,49,0.0,42.0,0.0,37.0,age,Adult,79.0,5
1199,jonessally,23,51.0,20.0,10.0,10.0,sports,Young Adult,91.0,1
1200,hsmith,40,14.0,14.0,68.0,26.0,food,Adult,122.0,5
1201,washingtonjulie,49,87.0,29.0,0.0,28.0,sports,Adult,144.0,2
1202,barnescrystal,26,9.0,42.0,8.0,19.0,fashion,Adult,78.0,1
1203,ngoodman,65,48.0,48.0,53.0,53.0,age,Senior,202.0,5
1204,tward,41,20.0,0.0,19.0,18.0,age,Adult,57.0,1
1205,rosstara,39,16.0,15.0,15.0,108.0,pet,Adult,154.0,0
1206,yhanson,48,80.0,80.0,0.0,40.0,sports,Adult,200.0,4
1207,kellysnyder,72,3.0,2.0,2.0,3.0,age,Senior,10.0,1
1208,jmack,30,51.0,27.0,0.0,52.0,pet,Adult,130.0,5
1209,nfrye,42,24.0,57.0,13.0,14.0,fashion,Adult,108.0,5
